original,translate
Fire Opal Ring of Strength,Fire Opal Ring of Strength
Fire Opal Ring of Survival,Fire Opal Ring of Survival
Fire Opal Ring of Thievery,Fire Opal Ring of Thievery
Fire Opal Ring of Toughness,Fire Opal Ring of Toughness
Fire Opal Ring of Willpower,Fire Opal Ring of Willpower
Flowgold Ring of Agility,Flowgold Ring of Agility
Flowgold Ring of Athletics,Flowgold Ring of Athletics
Flowgold Ring of Awareness,Flowgold Ring of Awareness
Flowgold Ring of Crafting,Flowgold Ring of Crafting
Flowgold Ring of Defence,Flowgold Ring of Defence
Flowgold Ring of Diplomacy,Flowgold Ring of Diplomacy
Flowgold Ring of Fortitude,Flowgold Ring of Fortitude
Flowgold Ring of Healing,Flowgold Ring of Healing
Flowgold Ring of Celerity,Flowgold Ring of Celerity
Flowgold Ring of Lore,Flowgold Ring of Lore
Flowgold Ring of Presence,Flowgold Ring of Presence
Flowgold Ring of Speed,Flowgold Ring of Speed
Flowgold Ring of Stealth,Flowgold Ring of Stealth
Flowgold Ring of Strength,Flowgold Ring of Strength
Flowgold Ring of Survival,Flowgold Ring of Survival
Flowgold Ring of Thievery,Flowgold Ring of Thievery
Flowgold Ring of Toughness,Flowgold Ring of Toughness
Flowgold Ring of Willpower,Flowgold Ring of Willpower
Frater's Ring of Agility,Frater's Ring of Agility
Frater's Ring of Athletics,Frater's Ring of Athletics
Frater's Ring of Awareness,Frater's Ring of Awareness
Frater's Ring of Crafting,Frater's Ring of Crafting
Frater's Ring of Defence,Frater's Ring of Defence
Frater's Ring of Diplomacy,Frater's Ring of Diplomacy
Frater's Ring of Fortitude,Frater's Ring of Fortitude
Frater's Ring of Healing,Frater's Ring of Healing
Frater's Ring of Celerity,Frater's Ring of Celerity
Frater's Ring of Lore,Frater's Ring of Lore
Frater's Ring of Presence,Frater's Ring of Presence
Frater's Ring of Speed,Frater's Ring of Speed
Frater's Ring of Stealth,Frater's Ring of Stealth
Frater's Ring of Strength,Frater's Ring of Strength
Frater's Ring of Survival,Frater's Ring of Survival
Frater's Ring of Thievery,Frater's Ring of Thievery
Frater's Ring of Toughness,Frater's Ring of Toughness
Frater's Ring of Willpower,Frater's Ring of Willpower
Genesis Ring of Athletics,Genesis Ring of Athletics
Genesis Ring of Agility,Genesis Ring of Agility
Genesis Ring of Awareness,Genesis Ring of Awareness
Genesis Ring of Crafting,Genesis Ring of Crafting
Genesis Ring of Defence,Genesis Ring of Defence
Genesis Ring of Diplomacy,Genesis Ring of Diplomacy
Genesis Ring of Fortitude,Genesis Ring of Fortitude
Genesis Ring of Healing,Genesis Ring of Healing
Genesis Ring of the Hero,Genesis Ring of the Hero
Genesis Ring of Celerity,Genesis Ring of Celerity
Genesis Ring of Intellect,Genesis Ring of Intellect
Genesis Ring of Lore,Genesis Ring of Lore
Genesis Ring of Presence,Genesis Ring of Presence
Genesis Ring of Protection,Genesis Ring of Protection
Genesis Ring of Speed,Genesis Ring of Speed
Genesis Ring of Stealth,Genesis Ring of Stealth
Genesis Ring of Strength,Genesis Ring of Strength
Genesis Ring of Survival,Genesis Ring of Survival
Genesis Ring of Thievery,Genesis Ring of Thievery
Genesis Ring of Toughness,Genesis Ring of Toughness
Genesis Ring of Willpower,Genesis Ring of Willpower
Green Sapphire Ring of Agility,Green Sapphire Ring of Agility
Green Sapphire Ring of Athletics,Green Sapphire Ring of Athletics
Green Sapphire Ring of Awareness,Green Sapphire Ring of Awareness
Green Sapphire Ring of Crafting,Green Sapphire Ring of Crafting
Green Sapphire Ring of Defence,Green Sapphire Ring of Defence
Green Sapphire Ring of Diplomacy,Green Sapphire Ring of Diplomacy
Green Sapphire Ring of Fortitude,Green Sapphire Ring of Fortitude
Green Sapphire Ring of Healing,Green Sapphire Ring of Healing
Green Sapphire Ring of Celerity,Green Sapphire Ring of Celerity
Green Sapphire Ring of Lore,Green Sapphire Ring of Lore
Green Sapphire Ring of Presence,Green Sapphire Ring of Presence
Green Sapphire Ring of Speed,Green Sapphire Ring of Speed
Green Sapphire Ring of Stealth,Green Sapphire Ring of Stealth
Green Sapphire Ring of Strength,Green Sapphire Ring of Strength
Green Sapphire Ring of Survival,Green Sapphire Ring of Survival
Green Sapphire Ring of Thievery,Green Sapphire Ring of Thievery
Green Sapphire Ring of Toughness,Green Sapphire Ring of Toughness
Green Sapphire Ring of Willpower,Green Sapphire Ring of Willpower
Lapis Ring of Agility,Lapis Ring of Agility
Lapis Ring of Athletics,Lapis Ring of Athletics
Lapis Ring of Awareness,Lapis Ring of Awareness
Lapis Ring of Crafting,Lapis Ring of Crafting
Lapis Ring of Defence,Lapis Ring of Defence
Lapis Ring of Diplomacy,Lapis Ring of Diplomacy
Lapis Ring of Fortitude,Lapis Ring of Fortitude
Lapis Ring of Healing,Lapis Ring of Healing
Lapis Ring of Celerity,Lapis Ring of Celerity
Lapis Ring of Lore,Lapis Ring of Lore
Lapis Ring of Presence,Lapis Ring of Presence
Lapis Ring of Speed,Lapis Ring of Speed
Lapis Ring of Stealth,Lapis Ring of Stealth
Lapis Ring of Strength,Lapis Ring of Strength
Lapis Ring of Survival,Lapis Ring of Survival
Lapis Ring of Thievery,Lapis Ring of Thievery
Lapis Ring of Toughness,Lapis Ring of Toughness
Lapis Ring of Willpower,Lapis Ring of Willpower
Lupercal Ring of Athletics,Lupercal Ring of Athletics
Lupercal Ring of Agility,Lupercal Ring of Agility
Lupercal Ring of Awareness,Lupercal Ring of Awareness
Lupercal Ring of Crafting,Lupercal Ring of Crafting
Lupercal Ring of Defence,Lupercal Ring of Defence
Lupercal Ring of Diplomacy,Lupercal Ring of Diplomacy
Lupercal Ring of Fortitude,Lupercal Ring of Fortitude
Lupercal Ring of Healing,Lupercal Ring of Healing
Lupercal Ring of the Hero,Lupercal Ring of the Hero
Lupercal Ring of Celerity,Lupercal Ring of Celerity
Lupercal Ring of Intellect,Lupercal Ring of Intellect
Lupercal Ring of Lore,Lupercal Ring of Lore
Lupercal Ring of Presence,Lupercal Ring of Presence
Lupercal Ring of Protection,Lupercal Ring of Protection
Lupercal Ring of Speed,Lupercal Ring of Speed
Lupercal Ring of Stealth,Lupercal Ring of Stealth
Lupercal Ring of Strength,Lupercal Ring of Strength
Lupercal Ring of Survival,Lupercal Ring of Survival
Lupercal Ring of Thievery,Lupercal Ring of Thievery
Lupercal Ring of Toughness,Lupercal Ring of Toughness
Lupercal Ring of Willpower,Lupercal Ring of Willpower
Primordial Ring of Athletics,Primordial Ring of Athletics
Primordial Ring of Agility,Primordial Ring of Agility
Primordial Ring of Awareness,Primordial Ring of Awareness
Primordial Ring of Crafting,Primordial Ring of Crafting
Primordial Ring of Defence,Primordial Ring of Defence
Primordial Ring of Diplomacy,Primordial Ring of Diplomacy
Primordial Ring of Fortitude,Primordial Ring of Fortitude
Primordial Ring of Healing,Primordial Ring of Healing
Primordial Ring of the Hero,Primordial Ring of the Hero
Primordial Ring of Celerity,Primordial Ring of Celerity
Primordial Ring of Intellect,Primordial Ring of Intellect
Primordial Ring of Lore,Primordial Ring of Lore
Primordial Ring of Presence,Primordial Ring of Presence
Primordial Ring of Protection,Primordial Ring of Protection
Primordial Ring of Speed,Primordial Ring of Speed
Primordial Ring of Stealth,Primordial Ring of Stealth
Primordial Ring of Strength,Primordial Ring of Strength
Primordial Ring of Survival,Primordial Ring of Survival
Primordial Ring of Thievery,Primordial Ring of Thievery
Primordial Ring of Toughness,Primordial Ring of Toughness
Primordial Ring of Willpower,Primordial Ring of Willpower
Ruby Ring of Agility,Ruby Ring of Agility
Ruby Ring of Athletics,Ruby Ring of Athletics
Ruby Ring of Awareness,Ruby Ring of Awareness
Ruby Ring of Crafting,Ruby Ring of Crafting
Ruby Ring of Defence,Ruby Ring of Defence
Ruby Ring of Diplomacy,Ruby Ring of Diplomacy
Ruby Ring of Fortitude,Ruby Ring of Fortitude
Ruby Ring of Healing,Ruby Ring of Healing
Ruby Ring of Celerity,Ruby Ring of Celerity
Ruby Ring of Lore,Ruby Ring of Lore
Ruby Ring of Presence,Ruby Ring of Presence
Ruby Ring of Stealth,Ruby Ring of Stealth
Ruby Ring of Strength,Ruby Ring of Strength
Ruby Ring of Survival,Ruby Ring of Survival
Ruby Ring of Thievery,Ruby Ring of Thievery
Ruby Ring of Toughness,Ruby Ring of Toughness
Ruby Ring of Willpower,Ruby Ring of Willpower
Sepulchite's Ring of Agility,Sepulchite's Ring of Agility
Sepulchite's Ring of Athletics,Sepulchite's Ring of Athletics
Sepulchite's Ring of Awareness,Sepulchite's Ring of Awareness
Sepulchite's Ring of Crafting,Sepulchite's Ring of Crafting
Sepulchite's Ring of Defence,Sepulchite's Ring of Defence
Sepulchite's Ring of Diplomacy,Sepulchite's Ring of Diplomacy
Sepulchite's Ring of Fortitude,Sepulchite's Ring of Fortitude
Sepulchite's Ring of Healing,Sepulchite's Ring of Healing
Sepulchite's Ring of Celerity,Sepulchite's Ring of Celerity
Sepulchite's Ring of Lore,Sepulchite's Ring of Lore
Sepulchite's Ring of Presence,Sepulchite's Ring of Presence
Sepulchite's Ring of Speed,Sepulchite's Ring of Speed
Sepulchite's Ring of Stealth,Sepulchite's Ring of Stealth
Sepulchite's Ring of Strength,Sepulchite's Ring of Strength
Sepulchite's Ring of Survival,Sepulchite's Ring of Survival
Sepulchite's Ring of Thievery,Sepulchite's Ring of Thievery
Sepulchite's Ring of Toughness,Sepulchite's Ring of Toughness
Sepulchite's Ring of Willpower,Sepulchite's Ring of Willpower
Serpent Ring of Agility,Serpent Ring of Agility
Serpent Ring of Athletics,Serpent Ring of Athletics
Serpent Ring of Awareness,Serpent Ring of Awareness
Serpent Ring of Crafting,Serpent Ring of Crafting
Serpent Ring of Defence,Serpent Ring of Defence
Serpent Ring of Diplomacy,Serpent Ring of Diplomacy
Serpent Ring of Fortitude,Serpent Ring of Fortitude
Serpent Ring of Healing,Serpent Ring of Healing
Serpent Ring of Celerity,Serpent Ring of Celerity
Serpent Ring of Lore,Serpent Ring of Lore
Serpent Ring of Presence,Serpent Ring of Presence
Serpent Ring of Stealth,Serpent Ring of Stealth
Serpent Ring of Strength,Serpent Ring of Strength
Serpent Ring of Survival,Serpent Ring of Survival
Serpent Ring of Thievery,Serpent Ring of Thievery
Serpent Ring of Toughness,Serpent Ring of Toughness
Serpent Ring of Willpower,Serpent Ring of Willpower
Skull Ring of Agility,Skull Ring of Agility
Skull Ring of Athletics,Skull Ring of Athletics
Skull Ring of Awareness,Skull Ring of Awareness
Skull Ring of Crafting,Skull Ring of Crafting
Skull Ring of Defence,Skull Ring of Defence
Skull Ring of Diplomacy,Skull Ring of Diplomacy
Skull Ring of Fortitude,Skull Ring of Fortitude
Skull Ring of Healing,Skull Ring of Healing
Skull Ring of Celerity,Skull Ring of Celerity
Skull Ring of Lore,Skull Ring of Lore
Skull Ring of Presence,Skull Ring of Presence
Skull Ring of Stealth,Skull Ring of Stealth
Skull Ring of Strength,Skull Ring of Strength
Skull Ring of Survival,Skull Ring of Survival
Skull Ring of Thievery,Skull Ring of Thievery
Skull Ring of Toughness,Skull Ring of Toughness
Skull Ring of Willpower,Skull Ring of Willpower
Sunstone Ring of Agility,Sunstone Ring of Agility
Sunstone Ring of Athletics,Sunstone Ring of Athletics
Sunstone Ring of Awareness,Sunstone Ring of Awareness
Sunstone Ring of Crafting,Sunstone Ring of Crafting
Sunstone Ring of Defence,Sunstone Ring of Defence
Sunstone Ring of Diplomacy,Sunstone Ring of Diplomacy
Sunstone Ring of Fortitude,Sunstone Ring of Fortitude
Sunstone Ring of Healing,Sunstone Ring of Healing
Sunstone Ring of Celerity,Sunstone Ring of Celerity
Sunstone Ring of Lore,Sunstone Ring of Lore
Sunstone Ring of Presence,Sunstone Ring of Presence
Sunstone Ring of Speed,Sunstone Ring of Speed
Sunstone Ring of Stealth,Sunstone Ring of Stealth
Sunstone Ring of Strength,Sunstone Ring of Strength
Sunstone Ring of Survival,Sunstone Ring of Survival
Sunstone Ring of Thievery,Sunstone Ring of Thievery
Sunstone Ring of Toughness,Sunstone Ring of Toughness
Sunstone Ring of Willpower,Sunstone Ring of Willpower
Tempest Ring of Athletics,Tempest Ring of Athletics
Tempest Ring of Agility,Tempest Ring of Agility
Tempest Ring of Awareness,Tempest Ring of Awareness
Tempest Ring of Crafting,Tempest Ring of Crafting
Tempest Ring of Defence,Tempest Ring of Defence
Tempest Ring of Diplomacy,Tempest Ring of Diplomacy
Tempest Ring of Fortitude,Tempest Ring of Fortitude
Tempest Ring of Healing,Tempest Ring of Healing
Tempest Ring of the Hero,Tempest Ring of the Hero
Tempest Ring of Celerity,Tempest Ring of Celerity
Tempest Ring of Intellect,Tempest Ring of Intellect
Tempest Ring of Lore,Tempest Ring of Lore
Tempest Ring of Presence,Tempest Ring of Presence
Tempest Ring of Protection,Tempest Ring of Protection
Tempest Ring of Speed,Tempest Ring of Speed
Tempest Ring of Stealth,Tempest Ring of Stealth
Tempest Ring of Strength,Tempest Ring of Strength
Tempest Ring of Survival,Tempest Ring of Survival
Tempest Ring of Thievery,Tempest Ring of Thievery
Tempest Ring of Toughness,Tempest Ring of Toughness
Tempest Ring of Willpower,Tempest Ring of Willpower
Topaz Ring of Agility,Topaz Ring of Agility
Topaz Ring of Athletics,Topaz Ring of Athletics
Topaz Ring of Awareness,Topaz Ring of Awareness
Topaz Ring of Crafting,Topaz Ring of Crafting
Topaz Ring of Defence,Topaz Ring of Defence
Topaz Ring of Diplomacy,Topaz Ring of Diplomacy
Topaz Ring of Fortitude,Topaz Ring of Fortitude
Topaz Ring of Healing,Topaz Ring of Healing
Topaz Ring of Celerity,Topaz Ring of Celerity
Topaz Ring of Lore,Topaz Ring of Lore
Topaz Ring of Presence,Topaz Ring of Presence
Topaz Ring of Stealth,Topaz Ring of Stealth
Topaz Ring of Strength,Topaz Ring of Strength
Topaz Ring of Survival,Topaz Ring of Survival
Topaz Ring of Thievery,Topaz Ring of Thievery
Topaz Ring of Toughness,Topaz Ring of Toughness
Topaz Ring of Willpower,Topaz Ring of Willpower
Wavestrider Ring of Athletics,Wavestrider Ring of Athletics
Wavestrider Ring of Agility,Wavestrider Ring of Agility
Wavestrider Ring of Awareness,Wavestrider Ring of Awareness
Wavestrider Ring of Crafting,Wavestrider Ring of Crafting
Wavestrider Ring of Defence,Wavestrider Ring of Defence
Wavestrider Ring of Diplomacy,Wavestrider Ring of Diplomacy
Wavestrider Ring of Fortitude,Wavestrider Ring of Fortitude
Wavestrider Ring of Healing,Wavestrider Ring of Healing
Wavestrider Ring of the Hero,Wavestrider Ring of the Hero
Wavestrider Ring of Celerity,Wavestrider Ring of Celerity
Wavestrider Ring of Intellect,Wavestrider Ring of Intellect
Wavestrider Ring of Lore,Wavestrider Ring of Lore
Wavestrider Ring of Presence,Wavestrider Ring of Presence
Wavestrider Ring of Protection,Wavestrider Ring of Protection
Wavestrider Ring of Speed,Wavestrider Ring of Speed
Wavestrider Ring of Stealth,Wavestrider Ring of Stealth
Wavestrider Ring of Strength,Wavestrider Ring of Strength
Wavestrider Ring of Survival,Wavestrider Ring of Survival
Wavestrider Ring of Thievery,Wavestrider Ring of Thievery
Wavestrider Ring of Toughness,Wavestrider Ring of Toughness
Wavestrider Ring of Willpower,Wavestrider Ring of Willpower
#Consumeables,#Consumables
Consume,Consume
Consumable,Consumable
Brandy,Brandy
A bottle of strong Gorremian brandy,A bottle of strong Gorremian brandy
The tired old mercenary's best friend,Best friend to the tired old mercenary
Potion of Cure Disease,Potion of Cure Disease
Potion of Cure Poison,Potion of Cure Poison
Firgol Cider,Firgol Cider
"Sparkling and sweet, this cider comes from the slow-growing orchards of Firgol","Sparkling and sweet, this cider comes from the slow-growing orchards of Firgol"
Many claim it’s the best in all of the Northern Empire whilst a handful of bad apples will complain it’s too sweet,"Many claim it’s the best in all of the Northern Empire, whilst a handful of bad apples will complain it's excessively sweet"
Potion of Greater Restoration,Potion of Greater Restoration
Greater Tonic of Vitality,Greater Tonic of Vitality
Lesser Tonic of Vitality,Lesser Tonic of Vitality
Moderate Tonic of Vitality,Moderate Tonic of Vitality
Potion of Acid Immunity,Potion of Acid Immunity
Potion of Electric Immunity,Potion of Electric Immunity
Potion of Fire Immunity,Potion of Fire Immunity
Potion of Panic Immunity,Potion of Panic Immunity
Greater Attunement Tonic,Greater Attunement Tonic
Lesser Attunement Tonic,Lesser Attunement Tonic
Moderate Attunement Tonic,Moderate Attunement Tonic
Mead,Mead
A sweet alcoholic brew made from honey,A sweet alcoholic brew made from honey
Widely enjoyed in all of the Northern Empire and the Outer Isles,Widely enjoyed in all of the Northern Empire and the Outer Isles
Potion of Agility,Potion of Agility
Potion of Bless,Potion of Bless
Potion of Diamond Form,Potion of Diamond Form
Potion of Fortify Will,Potion of Fortify Will
Potion of Frenzy,Potion of Frenzy
Potion of Heroism,Potion of Heroism
Potion of Regeneration,Potion of Regeneration
Potion of Speed,Potion of Speed
Potion of Stone Skin,Potion of Stone Skin
Potion of Strength,Potion of Strength
Potion of Acid Resistance,Potion of Acid Resistance
Potion of Electric Resistance,Potion of Electric Resistance
Potion of Fire Resistance,Potion of Fire Resistance
#Consumables - Tomes,#Consumables - Tomes
Tome,Tome
TOME,TOME
Read to learn the spell,Read to learn the spell
Requires ranks in one of the following schools,Requires ranks in one of the following schools
Tier,Tier
#Foods,#Foods
Apple,Apple
"Whilst its ability to keep the medicae away has yet to be proven, this common fruit can be found growing on trees in the summer months and is a staple in the pantry of peasants and noblemen alike","Whilst its ability to keep the medicae away has yet to be proven, this common fruit can be found growing on trees in the summer months and is a staple in the pantry of peasants and noblemen alike"
Bacon,Bacon
There is truly no better way to start the day than with a fresh chunk of this salted pork,There is truly no better way to start the day than with a fresh chunk of this salted pork
Dark Bread,Dark Bread
A piece of the traditional dark and heavy full-grain bread that is eaten throughout the region by farmers and laborers,A piece of the traditional dark and heavy full-grain bread that is eaten throughout the region by farmers and labourers
Butter,Butter
"Due to its affordability, the rich and creamy, salted butter from Heartlander cows is a popular source of nourishment amongst the lower classes of the Empire","Due to its affordability, the rich and creamy salted butter from Heartlander cows is a popular source of nourishment amongst the lower classes of the Empire"
There’s nothing butter,There’s nothing butter
Carrot,Carrot
"Abundant and healthy, carrots are a staple in the soups and stews of the north","Abundant and healthy, carrots are a staple in the various soups and stews of the north"
"Also, Hospitallers claim they improve your night-sight","Also, Hospitallers claim they improve your night-sight"
Cheddar,Cheddar
"Made from cow's milk, this cheese is common and beloved throughout the Imperial heartlands","Made from cow's milk, this cheese is common and beloved throughout the Imperial heartlands"
Perfect for eating with bread and ham,Perfect for eating with bread and ham
Sheep's Milk Cheese,Sheep's Milk Cheese
As inexpensive and filling as it is smelly,As inexpensive and filling as it is smelly
Sheep's milk cheese is a staple in the northern Hinterlands,Sheep's milk cheese is a staple in the northern Hinterlands
Crab,Crab
"Many of the Empire’s citizens will pay a pretty penny to get their hands on this soft, sweet meat","Many of the Empire’s citizens will pay a pretty penny to get their hands on this soft, sweet meat"
"Boiled in salted water and served on white bread with melted butter and squeezed lemon, crab-meat is truly a feast","Boiled in salted water and served on white bread with melted butter and squeezed lemon, crab-meat is truly a delight"
Cream,Cream
Rich and creamy,Rich and creamy. But not butter
Don’t let the cat have it,Don’t let the cat have it
Dried Meat,Dried Meat
"A favorite amongst adventures, this smoky, preserved meat can last longer than most people’s lives","A favourite amongst adventures, this smoky, preserved meat can often outlast the very adventures that carry it"
Eel,Eel
"Due to their abundance in both rivers and oceans, eels are one of the most popular seafoods in the Empire","Due to their abundance in both rivers and oceans, eels are one of the most popular seafoods in the Empire"
"So popular, in fact, that some citizens have even been known to accept them as payment","So popular, in fact, that some citizens have even been known to accept them as payment"
Eggs,Eggs
Don't put them all in one basket,Don't put them all in one basket
Perklin,Perklin
The humble perklin makes up for its meager size with its abundance,The perennial perklin. A humble little fish that makes up for its meagre size with its abundance
It's often perserved with salt and eaten year round,It's often preserved with salt and eaten all year round
The smell is an acquired taste,The smell is an acquired taste
Redman,Redman
The tongue and eyes of the redman swells grotesquely once it's pulled from the depth in which it dwells,The tongue and eyes of the redman swell grotesquely once it's pulled from the depth in which it dwells
"Despite its apperance, however, its flesh is considered a delicacy when served baked with lemons and vegetables","Despite its appearance, its flesh is considered a delicacy when served baked with lemons and vegetables"
Steel-Fin,Steel-fin
Dead fish eyes stare up at you,Dead fish eyes stare up at you
Steel-Fin is a staple on dinner tables throughout the Outer Isles,Steel-fin is a staple on dinner tables throughout the Outer Isles
It's commonly eaten in hearthy stews with vegetables,It's commonly eaten in hearty stews with vegetables
Flour,Flour
One of the greatest of the Gallian Miracles was the turning of deserts into the great rolling wheat fields that now constitute a large portion of the Heartland,One of the greatest of the Gallian Miracles was the turning of deserts into the great rolling wheat fields that now constitute a large portion of the Heartland
From these flows countless tons of grain and rich white flour,From these flows countless tons of grain and rich white flour
Garlic,Garlic
"Pungent and full of flavor, this herb is most frequently used to enhance a variety of meals","Pungent and full of flavour, this herb is most frequently used to enhance a variety of meals"
Cured Ham,Cured Ham
"Tender, savory and long lasting","Tender, savoury and long lasting"
Cured ham is found in the cellar of every well-to-do merchant and petty noble in the Empire,Cured ham is found in the cellar of every well-to-do merchant and petty noble in the Empire
Honey,Honey
"Sticky and sweet, this ingredient is often used by cooks to sweeten or preserve food, and is a staple in every mead-makers arsenal","Sticky and sweet, this ingredient is often used by cooks to sweeten or preserve food, and is a staple in every mead-makers arsenal"
It is even said to have curative properties when applied to infected wounds,It is even said to have curative properties when applied to infected wounds
Leeks,Leeks
"Beyond just the taste, leeks go a long way towards adding some color to the drab cuisine of the poor","Beyond just the taste, leeks go a long way towards adding some colour to the drab cuisine of the poor"
Lemons,Lemons
"In the north, lemons are almost exclusively found on ships where they serve to protect the sailors from the terrible scurvy that prolonged idleness and sexual abstinence is known to cause","In the north, lemons are almost exclusively found on ships where they serve to protect the sailors from the terrible scurvy that prolonged idleness and sexual abstinence is known to cause. So associated with seafaring are they: with sailors, seafood, and trade; that crews of the Empire who transport them are affectionately referred to as ""lemon-eaters,"" or the shortened ""limony,"" and by extension, any seaman"
Baked Crab,Baked Crab
The crab flesh is coated in spiced butter before baking in the oven to perfection,The crab flesh is coated in spiced butter before baking in the oven to perfection
Baked Mushrooms,Baked Mushrooms
The nutty flavor of the wyrdloaf mixes wonderfully with the aromas of garlic to produce a meal fit for an emperor,The nutty flavour of the wyrdloaf mixes wonderfully with the aromas of garlic to produce a meal fit for an emperor
Baked Onions,Baked Onions
"Onions are easily grow, keep for long and go a long ways towards covering up the taste of half-spoiled fish or meat","Onions are easily grown, keep for a long while, and go a long ways towards covering up the taste of half-spoiled fish or meat"
Baked Oysters,Baked Oysters
Tender oysters coated in bread-crumbs and baked until just right,Tender oysters coated in breadcrumbs and baked until just right
You just hope the oysters were fresh,You just hope the oysters were fresh
Baked Potato,Baked Potato
It is said that potatoes alone can nourish a man's body indefinitely,It is said that potatoes alone can nourish a man's body indefinitely
The same cannot be said for his soul,The same cannot be said for his soul
Beef Stew,Beef Stew
"A thick, hearty stew of beef cooked in rich, Ombarian wine","A thick, hearty stew of beef cooked in rich, Ombarian wine"
Cheese Plate,Cheese Plate
"Ah, the understated elegance of a cheese and fruit plate","Ah, the understated elegance of a cheese and fruit plate"
Eggs and Bacon,Bacon and Eggs
The breakfast of titans,The breakfast of titans
Baked Fish,Baked Fish
"A delicious-looking plate of baked, white fish on a bed of vegetables seasoned with freshly squeezed lemon","A delicious-looking plate of baked, white fish on a bed of vegetables seasoned with freshly squeezed lemon"
Salted Fish,Salted Fish
The fisherman's best friend,The fisherman's best friend
Preferably eaten with a mug of ale on the side,Preferably eaten with a mug of ale on the side
Fish Stew,Fish Stew
A steaming bowl of fish and vegetable stew,A steaming bowl of fish and vegetable stew
This type of dish is eaten more or less daily by the coast-dwellers of the north,This type of dish is eaten more or less daily by the coast-dwellers of the north
It could do with some salt,It could do with a little salt and a squeeze of lemon
Grilled Leeks,Grilled Leeks
Mashed Potatoes,Mashed Potatoes
Just the way mothers all over the Empire would make it!,Just the way mothers all over the Empire would make it!
Meat Skewers,Meat Skewers
Richly spiced meat roasted on skewers,Richly spiced meat roasted on skewers
A popular dish that the Empire imported from its overseas colonies,A popular dish that the Empire imported from its overseas colonies
Farmer's Omelette,Farmer's Omelette
"A nice farmer's omelette brings to mind the simple comforts of a quaint, rural life","A nice farmer's omelette brings to mind the simple comforts of a quaint, rural life"
Mushroom Omelette,Mushroom Omelette
The mushroom omelette tastes of the forest,The mushroom omelette tastes of the forest
Apple Pie,Apple Pie
Sweet and comforting,"Sweet and a little tart, but all comforting"
Pumpkin Pie,Pumpkin Pie
Nothing says autumn like a nice old slice of pumpkin pie,Nothing says autumn like a nice old slice of pumpkin pie
Roasted Eel,Roasted Eel
Crispy skin and tender meat,Crispy skin and tender meat
The roasted eel is seasoned with garlic and served with potato chips,The roasted eel is seasoned with garlic and served with thickly-cut wedges of potato
Cheese Sandwich,Cheese Sandwich
"For a few short moments, whilst eating a melted cheese sandwich, all is well in the world","For a few short moments, whilst eating a melted cheese sandwich, all is well in the world"
Mushroom Soup,Mushroom Soup
Fried Steak,Fried Steak
A meal to put hair on your chest!,A meal to put hair on your chest!
Vegetable Soup,Vegetable Soup
"A farmer’s feast, often eaten in the fall when root vegetables are abundant","A farmer’s feast, often eaten in the autumn time when root vegetables are abundant"
Morel,Morel
Morels are mushrooms that make for excellent eating,Morels are mushrooms that make for excellent eating
Penny Buns,Penny Buns
Penny Buns are mushrooms that make for excellent eating,Penny Buns are mushrooms that make for excellent eating
Wyrdloaf,Wyrdloaf
Wyrdloaf are mushrooms that make for excellent eating,Wyrdloaf are mushrooms that make for excellent eating
Nuts,Nuts
"Often added to meat dishes to boost nutrition, these tasty treats can be found growing on various trees and bushes throughout the Empire","Often added to meat dishes to make them more nourishing, these tasty treats can be found growing on various trees and bushes throughout the Empire"
Onions,Onions
Oysters,Oysters
This earthy flavored molluscs has been known to increase a person’s desire and sexual stamina,These earthy flavoured molluscs have been known to increase a person’s desire and sexual stamina
No wonder then that the courtiers and lay nobility of the Heartlands gorge themselves on this delicacy,"It's no wonder then, that the courtiers and lay-nobility of the Heartlands gorge themselves on this delicacy"
Just remember to smell them before you eat them,Just remember to smell them before consumption
Pear,Pear
"A freshly picked, juicy pear","A freshly picked, juicy pear. A versatile fruit with many variants of different flavours. Eat it straight off the tree, bake it in a pie or crumble, turn it into a fool with cream, or, best of all, make brandy out of it"
"Eat it fresh, bake it in a pie or make brandy from it!","The wood itself is prized for its properties among musicians, who can often be found playing in the taverns of villages with pear orchards."
Potatoes,Potatoes
Pumpkin,Pumpkin
A bit watery and tasteless but might work well in a soup or a pie,"A bit watery and tasteless, but might work well in a soup or a pie"
Ration,Ration
"A trail ration of dried meats, fruits and grains","A trail ration of dried meats, fruits, and grains"
As sure to filling as it is boring,As filling as it is boring
Salt,Salt
An empire runs on salt,An empire runs on salt
"As the Gallian Empire's preservative and seasoning of choice, it is no wonder that the Salt Merchant's Guild is both rich and very powerful","As the Gallian Empire's preservative and seasoning of choice, it is no wonder that the Salt Merchant's Guild is both rich and very powerful"
Snails,Snails
"Despite their slimy appearance, these small creatures are a delicacy amongst nobles and commoners alike and are often eaten with garlic butter or as part of hearty casseroles","Despite their slimy appearance, these small creatures are a delicacy amongst nobles and commoners alike and are often eaten with garlic butter or as part of hearty casseroles"
Spices,Spices
"Imported from far away lands at great cost and risk, spices are worth their weight in gold","Imported from far away lands at great cost and risk, spices are worth more than their weight in gold"
"Aromatic and delicious, they are a precious commodity used by the upper classes to enhance their meals","Aromatic and delicious, they are a precious commodity used by the upper classes to enhance their meals"
Squid,Squid
